[0.007s][info][gc] Using Concurrent Mark Sweep
[3.765s][info ][safepoint    ] Leaving safepoint region
[3.765s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001168 seconds, Stopping threads took: 0.0000074 seconds
[3.798s][info ][safepoint    ] Application time: 0.0328418 seconds
[3.798s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.798s][info ][safepoint    ] Leaving safepoint region
[3.798s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001006 seconds, Stopping threads took: 0.0000073 seconds
[3.819s][info ][safepoint    ] Application time: 0.0203421 seconds
[3.819s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.819s][info ][safepoint    ] Leaving safepoint region
[3.819s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001366 seconds, Stopping threads took: 0.0000801 seconds
[3.819s][info ][safepoint    ] Application time: 0.0003874 seconds
[3.819s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.819s][info ][safepoint    ] Leaving safepoint region
[3.819s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000664 seconds, Stopping threads took: 0.0000292 seconds
[3.820s][info ][safepoint    ] Application time: 0.0006837 seconds
[3.820s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.820s][info ][safepoint    ] Leaving safepoint region
[3.820s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002495 seconds, Stopping threads took: 0.0001654 seconds
[3.821s][info ][safepoint    ] Application time: 0.0002411 seconds
[3.821s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.821s][info ][safepoint    ] Leaving safepoint region
[3.821s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001499 seconds, Stopping threads took: 0.0000880 seconds
[3.821s][info ][safepoint    ] Application time: 0.0000793 seconds
[3.821s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.821s][info ][safepoint    ] Leaving safepoint region
[3.821s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000524 seconds, Stopping threads took: 0.0000055 seconds
[3.821s][info ][safepoint    ] Application time: 0.0001369 seconds
[3.821s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.821s][info ][safepoint    ] Leaving safepoint region
[3.821s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001081 seconds, Stopping threads took: 0.0000537 seconds
[3.821s][info ][safepoint    ] Application time: 0.0001274 seconds
[3.822s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.822s][info ][safepoint    ] Leaving safepoint region
[3.822s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002821 seconds, Stopping threads took: 0.0002418 seconds
[3.822s][info ][safepoint    ] Application time: 0.0002759 seconds
[3.822s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.822s][info ][safepoint    ] Leaving safepoint region
[3.822s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001089 seconds, Stopping threads took: 0.0000633 seconds
[3.822s][info ][safepoint    ] Application time: 0.0003427 seconds
[3.822s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.822s][info ][safepoint    ] Leaving safepoint region
[3.822s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001076 seconds, Stopping threads took: 0.0000495 seconds
[3.823s][info ][safepoint    ] Application time: 0.0000938 seconds
[3.823s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.823s][info ][safepoint    ] Leaving safepoint region
[3.823s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001234 seconds, Stopping threads took: 0.0000763 seconds
[3.823s][info ][safepoint    ] Application time: 0.0001509 seconds
